Frame,People Count
0,13
1,13
2,16
3,15
4,17
5,14
6,15
7,17
8,16
9,17
10,19
11,18
12,16
13,16
14,14
15,18
16,18
17,18
18,16
19,19
20,18
21,20
22,19
23,19
24,21
25,25
26,21
27,24
28,26
29,22
30,21
31,21
32,20
33,21
34,21
35,21
36,21
37,21
38,20
39,21
40,18
41,19
42,20
43,19
44,19
45,23
46,22
47,21
48,21
49,23
50,22
51,19
52,20
53,20
54,20
55,21
56,21
57,17
58,19
59,21
60,20
61,22
62,22
63,20
64,18
65,19
66,20
67,21
68,21
69,19
70,22
71,20
72,22
73,20
74,23
75,20
76,19
77,18
78,18
79,23
80,18
81,21
82,22
83,18
84,18
85,17
86,19
87,18
88,19
89,16
90,14
91,14
92,16
93,15
94,16
95,17
96,17
97,16
98,16
99,16
100,15
101,18
102,17
103,16
104,18
105,22
106,20
107,19
108,21
109,16
110,17
111,17
112,18
113,20
114,17
115,18
116,17
117,17
118,18
119,20
120,20
121,21
122,21
123,21
124,18
125,18
126,19
127,18
128,17
129,17
130,19
131,19
132,16
133,15
134,15
135,15
136,14
137,16
138,17
139,19
140,16
141,15
142,15
143,15
144,17
145,15
146,18
147,17
148,15
149,18
150,20
151,21
152,18
153,20
154,20
155,20
156,21
157,20
158,20
159,19
160,20
161,19
162,20
163,18
164,20
165,20
166,20
167,20
168,21
169,19
170,19
171,21
172,19
173,21
174,20
175,19
176,18
177,19
178,17
179,18
180,17
181,20
182,18
183,22
184,17
185,17
186,19
187,18
188,18
189,18
190,19
191,20
192,20
193,18
194,17
195,17
196,19
197,17
198,19
199,20
200,16
201,15
202,16
203,15
204,15
205,15
206,15
207,14
208,16
209,14
210,15
211,17
212,18
213,20
214,20
215,22
216,16
217,18
218,19
219,23
220,20
221,19
222,22
223,22
224,22
225,19
226,18
227,17
228,18
229,17
230,20
231,20
232,22
233,20
234,19
235,21
236,21
237,21
238,21
239,20
240,21
241,21
242,20
243,17
244,19
245,17
246,17
247,18
248,17
249,16
250,19
251,19
252,19
253,20
254,16
255,16
256,19
257,17
258,12
259,13
260,11
261,14
262,12
263,14
264,15
265,14
266,11
267,13
268,14
269,14
270,16
271,14
272,14
273,15
274,14
275,18
276,17
277,17
278,17
279,11
280,10
281,11
282,13
283,13
284,13
285,14
286,15
287,14
288,13
289,15
290,16
291,13
292,19
293,19
294,18
295,19
296,19
297,18
298,19
299,18
300,13
301,18
302,17
303,17
304,16
305,16
306,14
307,12
308,14
309,14
310,14
311,12
312,12
313,12
314,15
315,17
316,18
317,17
318,18
319,17
320,16
321,19
322,16
323,15
324,15
325,15
326,19
327,19
328,18
329,16
330,17
331,16
332,16
333,18
334,18
335,15
336,16
337,18
338,18
339,15
340,16
341,16
342,15
343,15
344,12
345,16
346,14
347,17
348,15
349,17
350,16
351,15
352,15
353,16
354,17
355,14
356,16
357,18
358,18
359,14
360,15
361,13
362,16
363,17
364,16
365,16
366,17
367,13
368,14
369,19
370,15
371,18
372,16
373,15
374,16
375,17
376,14
377,14
378,12
379,9
380,12
381,11
382,11
383,11
384,14
385,14
386,17
387,12
388,18
389,14
390,17
391,17
392,18
393,17
394,18
395,18
396,21
397,24
398,23
399,24
400,22
401,21
402,22
403,21
404,20
405,24
406,19
407,21
408,18
409,19
410,16
411,18
412,17
413,20
414,21
415,19
416,20
417,16
418,18
419,20
420,18
421,20
422,22
423,23
