Frame,People Count,Staff Allocated
0,13,2
1,13,2
2,16,2
3,15,2
4,17,2
5,14,2
6,15,2
7,17,2
8,16,2
9,17,2
10,19,2
11,18,2
12,16,2
13,16,2
14,14,2
15,18,2
16,18,2
17,18,2
18,16,2
19,19,2
20,18,2
21,20,2
22,19,2
23,19,2
24,21,2
25,25,2
26,21,2
27,24,2
28,26,2
29,22,2
30,21,2
31,21,2
32,20,2
33,21,2
34,21,2
35,21,2
36,21,2
37,21,2
38,20,2
39,21,2
40,18,2
41,19,2
42,20,2
43,19,2
44,19,2
45,23,2
46,22,2
47,21,2
48,21,2
49,23,2
50,22,2
51,19,2
52,20,2
53,20,2
54,20,2
55,21,2
56,21,2
57,17,2
58,19,2
59,21,2
60,20,2
61,22,2
62,22,2
63,20,2
64,18,2
65,19,2
66,20,2
67,21,2
68,21,2
69,19,2
70,22,2
71,20,2
72,22,2
73,20,2
74,23,2
75,20,2
76,19,2
77,18,2
78,18,2
79,23,2
80,18,2
81,21,2
82,22,2
83,18,2
84,18,2
85,17,2
86,19,2
87,18,2
88,19,2
89,16,2
90,14,2
91,14,2
92,16,2
93,15,2
94,16,2
95,17,2
96,17,2
97,16,2
98,16,2
99,16,2
100,15,2
101,18,2
102,17,2
103,16,2
104,18,2
105,22,2
106,20,2
107,19,2
108,21,2
109,16,2
110,17,2
111,17,2
112,18,2
113,20,2
114,17,2
115,18,2
116,17,2
117,17,2
118,18,2
119,20,2
120,20,2
121,21,2
122,21,2
123,21,2
124,18,2
125,18,2
126,19,2
127,18,2
128,17,2
129,17,2
130,19,2
131,19,2
132,16,2
133,15,2
134,15,2
135,15,2
136,14,2
137,16,2
138,17,2
139,19,2
140,16,2
141,15,2
142,15,2
143,15,2
144,17,2
145,15,2
146,18,2
147,17,2
148,15,2
149,18,2
150,20,2
151,21,2
152,18,2
153,20,2
154,20,2
155,20,2
156,21,2
157,20,2
158,20,2
159,19,2
160,20,2
161,19,2
162,20,2
163,18,2
164,20,2
165,20,2
166,20,2
167,20,2
168,21,2
169,19,2
170,19,2
171,21,2
172,19,2
173,21,2
174,20,2
175,19,2
176,18,2
177,19,2
178,17,2
179,18,2
180,17,2
181,20,2
182,18,2
183,22,2
184,17,2
185,17,2
186,19,2
187,18,2
188,18,2
189,18,2
190,19,2
191,20,2
192,20,2
193,18,2
194,17,2
195,17,2
196,19,2
197,17,2
198,19,2
199,20,2
200,16,2
201,15,2
202,16,2
203,15,2
204,15,2
205,15,2
206,15,2
207,14,2
208,16,2
209,14,2
210,15,2
211,17,2
212,18,2
213,20,2
214,20,2
215,22,2
216,16,2
217,18,2
218,19,2
219,23,2
220,20,2
221,19,2
222,22,2
223,22,2
224,22,2
225,19,2
226,18,2
227,17,2
228,18,2
229,17,2
230,20,2
231,20,2
232,22,2
233,20,2
234,19,2
235,21,2
236,21,2
237,21,2
238,21,2
239,20,2
240,21,2
241,21,2
242,20,2
243,17,2
244,19,2
245,17,2
246,17,2
247,18,2
248,17,2
249,16,2
250,19,2
251,19,2
252,19,2
253,20,2
254,16,2
255,16,2
256,19,2
257,17,2
258,12,2
259,13,2
260,11,2
261,14,2
262,12,2
263,14,2
264,15,2
265,14,2
266,11,2
267,13,2
268,14,2
269,14,2
270,16,2
271,14,2
272,14,2
273,15,2
274,14,2
275,18,2
276,17,2
277,17,2
278,17,2
279,11,2
280,10,2
281,11,2
282,13,2
283,13,2
284,13,2
285,14,2
286,15,2
287,14,2
288,13,2
289,15,2
290,16,2
291,13,2
292,19,2
293,19,2
294,18,2
295,19,2
296,19,2
297,18,2
298,19,2
299,18,2
300,13,2
301,18,2
302,17,2
303,17,2
304,16,2
305,16,2
306,14,2
307,12,2
308,14,2
309,14,2
310,14,2
311,12,2
312,12,2
313,12,2
314,15,2
315,17,2
316,18,2
317,17,2
318,18,2
319,17,2
320,16,2
321,19,2
322,16,2
323,15,2
324,15,2
325,15,2
326,19,2
327,19,2
328,18,2
329,16,2
330,17,2
331,16,2
332,16,2
333,18,2
334,18,2
335,15,2
336,16,2
337,18,2
338,18,2
339,15,2
340,16,2
341,16,2
342,15,2
343,15,2
344,12,2
345,16,2
346,14,2
347,17,2
348,15,2
349,17,2
350,16,2
351,15,2
352,15,2
353,16,2
354,17,2
355,14,2
356,16,2
357,18,2
358,18,2
359,14,2
360,15,2
361,13,2
362,16,2
363,17,2
364,16,2
365,16,2
366,17,2
367,13,2
368,14,2
369,19,2
370,15,2
371,18,2
372,16,2
373,15,2
374,16,2
375,17,2
376,14,2
377,14,2
378,12,2
379,9,2
380,12,2
381,11,2
382,11,2
383,11,2
384,14,2
385,14,2
386,17,2
387,12,2
388,18,2
389,14,2
390,17,2
391,17,2
392,18,2
393,17,2
394,18,2
395,18,2
396,21,2
397,24,2
398,23,2
399,24,2
400,22,2
401,21,2
402,22,2
403,21,2
404,20,2
405,24,2
406,19,2
407,21,2
408,18,2
409,19,2
410,16,2
411,18,2
412,17,2
413,20,2
414,21,2
415,19,2
416,20,2
417,16,2
418,18,2
419,20,2
420,18,2
421,20,2
422,22,2
423,23,2
424,21,2
425,23,2
426,22,2
427,18,2
428,17,2
429,19,2
430,18,2
431,17,2
432,17,2
433,19,2
434,16,2
435,19,2
436,20,2
437,20,2
438,22,2
439,20,2
440,23,2
441,22,2
442,22,2
443,19,2
444,24,2
445,24,2
446,22,2
447,23,2
448,20,2
449,18,2
450,18,2
451,22,2
452,18,2
453,21,2
454,22,2
455,21,2
456,24,2
457,20,2
458,19,2
459,19,2
460,19,2
461,20,2
462,21,2
463,20,2
464,17,2
465,21,2
466,19,2
467,18,2
468,20,2
469,20,2
470,20,2
471,17,2
472,20,2
473,17,2
474,19,2
475,19,2
476,20,2
477,18,2
478,19,2
479,20,2
480,19,2
481,24,2
482,21,2
483,22,2
484,21,2
485,21,2
486,19,2
487,20,2
488,23,2
489,24,2
490,23,2
491,24,2
492,23,2
493,25,2
494,24,2
495,23,2
496,22,2
497,24,2
498,26,2
499,20,2
500,21,2
501,22,2
502,24,2
503,22,2
504,20,2
505,22,2
506,21,2
507,22,2
508,23,2
509,23,2
510,25,2
511,23,2
512,21,2
513,22,2
514,24,2
515,22,2
516,22,2
517,23,2
518,21,2
519,22,2
520,23,2
521,20,2
522,20,2
523,20,2
524,21,2
525,20,2
526,18,2
527,18,2
528,19,2
529,18,2
530,21,2
531,22,2
532,24,2
533,23,2
534,24,2
535,22,2
536,24,2
537,20,2
538,18,2
539,18,2
540,21,2
541,22,2
542,23,2
543,22,2
544,19,2
545,24,2
546,23,2
547,25,2
548,24,2
549,24,2
550,24,2
551,20,2
552,20,2
553,21,2
554,20,2
555,18,2
556,16,2
557,14,2
558,17,2
559,19,2
560,20,2
561,17,2
562,21,2
563,23,2
564,24,2
565,22,2
566,23,2
567,21,2
568,21,2
569,22,2
570,19,2
571,15,2
572,18,2
573,19,2
574,21,2
575,23,2
576,22,2
577,17,2
578,19,2
579,19,2
580,21,2
581,22,2
582,23,2
583,23,2
584,21,2
585,22,2
586,22,2
587,23,2
588,21,2
589,20,2
590,23,2
591,24,2
592,23,2
593,23,2
594,26,2
595,24,2
596,21,2
597,23,2
598,24,2
599,22,2
600,22,2
601,25,2
602,24,2
603,20,2
604,23,2
605,25,2
606,24,2
607,21,2
608,18,2
609,22,2
610,22,2
611,23,2
612,23,2
613,27,2
614,24,2
615,22,2
616,24,2
617,21,2
618,22,2
619,21,2
620,22,2
621,24,2
622,22,2
623,22,2
624,22,2
625,19,2
626,16,2
627,15,2
628,15,2
629,16,2
630,16,2
631,14,2
632,18,2
633,17,2
634,18,2
635,22,2
636,22,2
637,21,2
638,18,2
639,19,2
640,19,2
641,20,2
642,20,2
643,21,2
644,20,2
645,20,2
646,18,2
647,18,2
648,16,2
649,18,2
650,19,2
651,20,2
652,17,2
653,19,2
654,18,2
655,19,2
656,19,2
657,18,2
658,16,2
659,16,2
660,20,2
661,20,2
662,23,2
663,21,2
664,20,2
665,20,2
666,18,2
667,18,2
668,18,2
669,20,2
670,19,2
671,21,2
672,19,2
673,19,2
674,21,2
675,20,2
676,19,2
677,19,2
678,18,2
679,21,2
680,20,2
681,19,2
682,22,2
683,19,2
684,21,2
685,23,2
686,23,2
687,21,2
688,21,2
689,18,2
690,17,2
691,17,2
692,22,2
693,19,2
694,21,2
695,23,2
696,23,2
697,22,2
698,22,2
699,25,2
700,27,2
701,23,2
702,23,2
703,22,2
704,25,2
705,22,2
706,24,2
707,24,2
708,22,2
709,21,2
710,21,2
711,21,2
712,23,2
713,22,2
714,25,2
715,25,2
716,23,2
717,23,2
718,22,2
719,19,2
720,19,2
721,19,2
722,18,2
723,19,2
724,20,2
725,20,2
726,24,2
727,23,2
728,19,2
729,19,2
730,22,2
731,21,2
732,21,2
733,19,2
734,17,2
735,15,2
736,17,2
737,16,2
738,17,2
739,19,2
740,18,2
741,15,2
742,16,2
743,16,2
744,15,2
745,15,2
746,16,2
747,17,2
748,17,2
749,17,2
750,18,2
751,15,2
752,18,2
753,17,2
754,19,2
755,19,2
756,19,2
757,16,2
758,15,2
759,16,2
760,16,2
761,16,2
762,16,2
763,16,2
764,18,2
765,19,2
766,16,2
767,15,2
768,17,2
769,17,2
770,17,2
771,17,2
772,18,2
773,17,2
774,18,2
